,price
3035,80.0
3041,571.0
3045,132.0
3046,307.0
3047,48.0
3048,179.0
3051,249.0
3053,150.0
3054,58.0
3055,95.0
3056,250.0
3057,189.0
3058,150.0
3060,351.0
3062,224.0
3063,199.0
3065,85.0
3066,125.0
3069,95.0
3072,156.0
3074,999.0
3075,69.0
3076,67.0
3079,85.0
3083,500.0
3087,350.0
3088,55.0
3094,460.0
3095,152.0
3097,39.0
3100,45.0
3103,100.0
3104,150.0
3105,85.0
3106,93.0
3107,69.0
3114,75.0
3116,125.0
3119,181.0
3121,296.0
3122,329.0
3123,389.0
3126,110.0
3127,120.0
3128,280.0
3130,154.0
3131,165.0
3133,217.0
3136,110.0
3137,132.0
3138,95.0
3140,46.0
3148,150.0
3151,450.0
3152,130.0
3156,115.0
3159,135.0
3161,50.0
3162,51.0
3165,110.0
3166,189.0
3168,599.0
3170,183.0
3172,199.0
3174,107.0
3176,199.0
3179,230.0
3182,115.0
3184,249.0
3185,150.0
3190,88.0
3191,60.0
3194,425.0
3195,94.0
3197,68.0
3198,100.0
3200,55.0
3202,40.0
3204,192.0
3205,50.0
3208,139.0
3217,45.0
3218,137.0
3219,114.0
3220,75.0
3225,35.0
3226,81.0
3228,90.0
3229,119.0
3230,150.0
3232,86.0
3234,80.0
3237,75.0
3239,198.0
3240,125.0
3241,100.0
3242,99.0
3244,575.0
3245,328.0
3248,250.0
3249,188.0
3252,86.0
3253,139.0
3254,215.0
3256,299.0
3257,130.0
3261,255.0
3265,80.0
3269,950.0
3270,68.0
3271,80.0
3272,145.0
3273,1100.0
3275,193.0
3279,2093.0
3280,150.0
3281,729.0
3283,500.0
3286,46.0
3288,75.0
3290,112.0
3291,135.0
3292,250.0
3294,671.0
3295,140.0
3298,197.0
3299,186.0
3300,60.0
3301,135.0
3302,80.0
3303,2157.0
3304,139.0
3305,195.0
3306,199.0
3313,110.0
3318,121.0
3320,120.0
3324,104.0
3325,121.0
3326,165.0
3330,77.0
3331,65.0
3333,174.0
3334,91.0
3335,190.0
3337,115.0
3340,40.0
3342,100.0
3345,98.0
3346,90.0
3347,117.0
3348,186.0
3351,120.0
3352,364.0
3355,100.0
3359,100.0
3363,105.0
3365,564.0
3366,90.0
3367,495.0
3368,87.0
3369,495.0
3370,97.0
3371,125.0
3372,153.0
3374,73.0
3380,263.0
3383,45.0
3384,140.0
3385,40.0
3386,135.0
3387,129.0
3388,390.0
3389,59.0
3390,135.0
3394,79.0
3395,108.0
3396,125.0
3399,50.0
3400,115.0
3402,200.0
3403,72.0
3404,99.0
3406,145.0
3410,50.0
3414,101.0
3417,180.0
3419,99.0
3423,75.0
3424,85.0
3425,67.0
3427,65.0
3428,72.0
3430,70.0
3433,199.0
3434,75.0
3435,75.0
3436,175.0
3438,59.0
3440,400.0
3442,135.0
3444,165.0
3446,89.0
3452,65.0
3454,499.0
3455,450.0
3460,149.0
3461,60.0
3463,99.0
3465,300.0
3466,150.0
3468,327.0
3472,48.0
3474,67.0
3475,134.0
3479,116.0
3484,185.0
3485,175.0
3487,350.0
3490,350.0
