,latitude,longitude,property_type,accommodates,bathrooms_text,bedrooms,beds
10642,34.04415,-118.25131,Entire loft,2,1 bath,1.0,1.0
10643,34.06622,-118.35485,Entire apartment,4,2 baths,2.0,3.0
10645,34.04995,-118.43236999999999,Entire apartment,3,1 bath,1.0,1.0
10648,34.22309,-118.36676000000001,Entire townhouse,5,1 bath,2.0,2.0
10651,34.25243,-118.27147,Entire guest suite,2,1 bath,1.0,2.0
10657,33.956590000000006,-118.42818,Private room in house,2,1 private bath,1.0,1.0
10663,34.00104,-118.44062,Private room in house,2,1 private bath,1.0,1.0
10665,34.05595,-118.43558999999999,Entire condominium,8,1 bath,2.0,3.0
10668,34.20115,-118.42956000000001,Private room in townhouse,1,1.5 baths,1.0,1.0
10669,34.06328,-118.35138,Entire apartment,5,1 bath,1.0,2.0
10670,34.106609999999996,-118.29744,Entire apartment,2,1 bath,1.0,1.0
10671,34.16533,-118.50112,Entire apartment,4,2 baths,2.0,2.0
10678,33.97787,-118.46203,Entire apartment,4,1 bath,1.0,2.0
10680,34.04187,-118.26165,Entire serviced apartment,6,2 baths,2.0,3.0
10682,34.117670000000004,-118.43676,Private room in house,2,1 private bath,1.0,1.0
10683,33.986779999999996,-118.41621,Entire apartment,6,2 baths,2.0,2.0
10684,34.04865,-118.28603000000001,Private room in house,3,1.5 shared baths,1.0,2.0
10686,34.04821,-118.28562,Private room in house,2,1.5 shared baths,1.0,1.0
10687,34.048359999999995,-118.28703999999999,Private room in house,2,1.5 shared baths,1.0,1.0
10690,34.0501,-118.28555,Entire apartment,9,1.5 baths,3.0,4.0
10692,34.11699,-118.25583999999999,Entire bungalow,2,1 bath,1.0,1.0
10693,34.18436,-118.55807,Private room in house,2,1 shared bath,1.0,1.0
10697,34.03884,-118.43443,Private room in townhouse,1,1 private bath,1.0,1.0
10698,34.04849,-118.43105,Private room in apartment,2,1 shared bath,1.0,1.0
10700,34.05402,-118.35251000000001,Entire apartment,4,1 bath,1.0,1.0
10701,34.11285,-118.28343000000001,Entire house,8,2 baths,3.0,3.0
10703,34.003370000000004,-118.44475,Private room in house,2,1 private bath,1.0,1.0
10704,34.00228,-118.44612,Private room in house,1,1 shared bath,1.0,1.0
10705,34.00343,-118.44623,Private room in house,2,1 shared bath,1.0,1.0
10706,33.96021,-118.45151000000001,Entire house,6,2 baths,2.0,2.0
10713,34.064840000000004,-118.42728999999999,Entire apartment,5,1 bath,2.0,4.0
10717,34.064440000000005,-118.3412,Private room in house,2,1 shared bath,1.0,1.0
10721,34.047509999999996,-118.35315,Private room in apartment,2,1 private bath,1.0,1.0
10727,34.149879999999996,-118.36661000000001,Private room in apartment,2,1 private bath,1.0,1.0
